,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TARGET-10-PARPZJ,0.85823476,0.34189942,0.23523824,0.11770348,0.24522258,1.0276608,0.2376361,0.22090793,-0.008300043,-0.011437915,0.08511962,1.0579885,0.34556228,0.4199036,0.11477065,0.97723776,0.05643435,0.16878347,-0.00036222674,0.18197192,-0.04167452,-0.00066777004,0.52503324,0.45841625,0.08804666,0.018086474,-0.009600528,0.3125242,0.12090026,0.6561772,0.17490935,0.011359291,0.16315523,-0.036931284,-0.057649203,-0.0074097663,0.70826775,-0.113475166,-0.013405019,-0.020054612,-0.006569896,-0.037671726,0.43363878,0.3459709,0.12012228,1.1552093,0.16822042,1.0748788,0.33840308,-0.011470963,0.50582254,0.14279307,0.17683762,0.20278558,1.6258883,1.1514509,-0.006124168,1.159174,0.021393795,-0.044903167,-0.050889548,-0.023519602,0.3183932,-0.05422417
TARGET-10-PARUBK,1.7665461,0.91490006,0.5686161,0.24360748,0.34835824,1.5100237,0.2983359,0.25624293,-0.012527684,-0.023393843,0.059507344,1.7510717,0.6533252,0.63767326,0.3249771,1.7217243,0.25235105,0.5033217,-0.011689828,0.4873364,-0.09164161,0.14011472,0.7452846,0.7613669,0.07868661,-0.04913048,-0.013871766,0.70872986,0.23862876,0.25278264,-0.0120478785,-0.023761673,0.5080946,-0.0796931,-0.098183855,0.11127976,1.2924262,-0.17777374,-0.0024873991,-0.0050491407,-0.0063013174,-0.014308246,0.21193439,0.52309155,0.17847547,2.0546722,0.32529134,1.9092544,0.9383106,-0.013096905,1.3685347,0.38911355,0.65454286,0.23746285,3.0326722,2.090756,0.2487722,2.1817234,0.20992397,-0.123260215,-0.09902599,-0.044116627,0.43223622,-0.09384959
TARGET-10-PARUGP,1.5387392,0.83359414,0.26946607,0.24133651,0.44757944,1.3742605,0.2996383,0.38402414,-0.019091027,-0.04175446,-0.0037848216,1.6428231,0.5343732,0.5538257,0.1759239,1.4990044,0.012613259,0.50219667,0.06990009,0.306916,-0.06166927,-0.017739395,0.6859028,0.67410976,-0.01243218,-0.047230985,-0.01385458,0.49415854,0.30897903,0.57624114,0.30656034,-0.0062585804,0.42063522,-0.06227081,-0.06529259,0.02940407,0.8402659,-0.15141325,-0.0047524455,-0.008675012,-0.003022718,-0.04189493,0.44653687,0.661746,0.16716649,1.7588689,0.25358745,1.7987949,0.31135717,-0.007969346,0.9612476,0.13583595,0.695595,0.13963298,2.6217847,1.9350743,0.1325784,2.023164,0.07987212,-0.08974292,-0.092037015,-0.03573721,0.5406819,-0.09995278
TARGET-10-PARVWD,1.2136109,0.61084133,0.40353012,0.2708969,0.4907779,1.3788598,0.21123074,0.15843469,-0.022576325,-0.02434887,-0.011790301,1.6341547,0.4531176,0.38994366,0.3679616,1.2741994,0.31467816,0.2317291,0.07438369,0.40290415,-0.081480406,-0.008293675,0.5338743,0.37812185,-0.0033688813,-0.033892214,-0.014575592,0.47247425,0.2411537,0.48146445,0.08830896,-0.022924384,0.30599514,-0.0667001,-0.06646831,0.15693198,0.64865935,-0.123060636,-0.0068793776,-0.021784395,0.12898329,-0.047459085,0.15782209,0.5307431,0.2778881,1.7549233,0.10519129,1.375507,0.68843913,-0.002325032,0.99423605,0.18830983,0.41142187,0.11588493,2.2948513,1.7054754,-0.017973319,1.6664109,0.19065653,-0.057093717,-0.069564454,-0.052483916,0.32104674,-0.101346485
TARGET-10-PARXMC,0.8411828,0.5186027,0.18186614,0.12657116,0.31830877,0.96916056,0.24066448,0.1559796,-0.013017257,-0.0069315704,-0.007680324,1.0006005,0.44934544,0.38282573,0.06477271,0.8691775,0.13763994,0.2884793,-0.0004645936,0.23915097,-0.03990454,-0.012239625,0.45197544,0.4030105,0.019123858,-0.015778128,-0.017211342,0.26359573,0.06019711,0.3659859,0.0758512,-0.011135184,0.40768573,-0.04178912,-0.059546974,-0.0046900613,0.48597524,-0.09458972,-0.0010513213,-0.004684446,-0.00047958858,-0.02300295,0.28532034,0.2628484,0.22064625,1.2149975,0.18639214,1.089951,0.31412426,-0.00043203085,0.72823536,0.15795268,0.2926257,0.14252028,1.6383654,1.2643633,-0.017284675,1.2510498,0.0017117299,-0.054864235,-0.058921706,-0.03182661,0.2901539,-0.06211813
TARGET-20-PALGKX,1.3829648,0.6851837,0.32841554,0.12212133,0.37516055,1.2610352,0.2644233,0.20436203,-0.013702172,-0.006058605,0.04132626,1.332182,0.60487896,0.30899286,0.19046372,1.2749107,0.23024881,0.2199141,-0.010791129,0.407475,-0.08084628,-0.0027698746,0.48557702,0.68156403,0.09222783,-0.025279764,-0.031148398,0.45335552,0.07943987,0.4382095,-0.0074740336,-0.01741471,0.53999543,-0.06306256,-0.09315687,0.003202829,0.77583486,-0.13442175,0.077530846,-0.024030117,-0.01255257,-0.028667552,0.18099485,0.42871052,0.13659316,1.6597562,0.13516216,1.3688188,0.753742,0.07364925,1.240977,0.08074704,0.20002529,0.044061836,2.2627213,1.8995947,0.014310628,1.5720532,0.14237627,-0.067811035,-0.08091106,-0.041632563,0.35448042,-0.068908416
TARGET-20-PAMYAS,1.00848,0.48490256,0.32497212,0.18444245,0.30529848,0.97435945,0.3214989,0.21235773,-0.01999015,-0.013030079,0.038532414,1.0415115,0.39957476,0.21776086,0.20537977,0.8962106,0.23650694,0.24618055,0.057644077,0.3073821,-0.06422157,-0.01809282,0.25781062,0.5876902,0.2540713,-0.01821596,-0.032073207,0.23967884,0.08919364,0.32678398,0.2299427,-0.010991331,0.334541,-0.03704905,-0.05809948,0.076196365,0.5061244,-0.09348448,-0.0024214361,-0.027564947,-0.022315836,-0.026873231,0.034842864,0.29567486,0.07721485,1.2038934,0.0050597712,1.0501823,0.37337956,-0.0063570733,0.6424147,0.025076184,0.20853028,0.11452852,1.6184647,1.1357721,0.0969414,1.1885065,0.06035562,-0.05946642,-0.07114198,-0.033067152,0.26187906,-0.054637577
TARGET-20-PANLIZ,1.3292494,0.79300463,0.6004705,0.080210164,0.2979557,1.3709401,0.30997115,0.17402399,-0.010063056,-0.008080748,-0.0036332738,1.483933,0.71760714,0.5137201,0.16345698,1.4085202,0.60223764,0.4594897,0.15512252,0.55253196,-0.084627,-0.003916826,0.6572628,0.7922527,0.14525767,-0.015350151,-0.03445274,0.49663648,-0.004550039,0.28538716,0.06310843,-0.006261357,0.5952918,-0.06052775,-0.077875815,0.020520257,1.1359785,-0.15618545,-0.010447308,-0.01670857,-0.0014724978,-0.03775666,0.20379703,0.42630664,0.15076311,1.7234945,0.24332324,1.5282103,0.75798535,-0.018684262,1.3592384,0.043123733,0.41615182,0.16867502,2.5152342,1.6192961,-0.0008604396,1.7415054,0.24956092,-0.09606943,-0.097717896,-0.035192505,0.3900572,-0.068019584
TARGET-20-PARCVS,1.143399,0.61026984,0.43594953,0.21428531,0.50840235,1.3064907,0.45326042,0.08195725,-0.0006432933,-0.0205224,0.071000114,1.309714,0.48763818,0.33009356,0.30965647,1.1998171,0.29597607,0.29575446,0.023497324,0.41826493,-0.060244735,-0.015383616,0.62151724,0.6340463,0.017496051,-0.010777598,-0.032130312,0.23308821,0.08223353,0.43045682,0.19804828,-0.020192817,0.54625565,-0.05871724,-0.06920481,-0.0027408728,0.9635354,-0.123541795,-0.005910789,-0.012023374,-0.02225239,-0.033260822,0.34870648,0.3447844,0.16050258,1.5571699,0.097149074,1.432531,0.64898837,-0.008308715,1.0344298,0.23525004,0.24482858,0.30386537,2.260637,1.319404,-0.0101519665,1.5725614,0.019841854,-0.06880675,-0.08944266,-0.037691817,0.3644096,-0.06521414
TARGET-20-PARDDY,0.68820953,0.35842463,0.1537422,0.16572928,0.20858935,0.5846015,0.3227925,0.13522103,-0.017448068,-0.0015737581,0.12509485,0.8331947,0.3259542,0.16589305,0.114925444,0.73644274,0.12788779,0.24355878,-0.008608156,0.15036231,-0.03172667,-0.00774278,0.28146183,0.40259472,0.0758677,-0.019958114,-0.008540635,0.27185258,-0.0031478207,0.32689968,-0.0071471557,-0.013784391,0.3247786,-0.020374095,-0.056780454,0.03603902,0.3668424,-0.08141746,0.05358129,-0.013018422,-0.013118215,0.0030930005,0.112285435,0.39823794,-0.014102811,0.7257374,0.22563781,0.68776107,0.4330165,0.061189644,0.36393562,-0.008686873,0.05954524,-0.002043676,1.0296661,0.8596688,-0.008214549,1.0022609,-0.00065904524,-0.045078926,-0.04329322,-0.01915445,0.24274786,-0.030042125
TARGET-20-PARFAL,1.0569624,0.57148457,0.33922732,0.22838919,0.37687287,1.043623,0.36034667,0.15829581,-0.0157125,-0.007671232,0.19612637,1.249911,0.59507346,0.35231078,0.35947242,1.2649935,0.27713975,0.36616987,-0.005400967,0.21012242,-0.06839365,-0.0020882783,0.47177884,0.4745917,0.20077814,-0.032387838,-0.018809957,0.3323296,0.053705126,0.47110155,-0.017543012,-0.01356214,0.50522304,-0.03576943,-0.09669193,0.10406176,0.6475787,-0.122784816,0.10377349,-0.014222574,-0.013427006,-0.01800689,0.10285079,0.45394203,-0.010500324,1.3992592,0.3531317,1.2147187,0.72960544,0.045291282,0.85653275,0.08106045,0.20935524,-0.006425634,1.8421006,1.4977194,-0.023511244,1.5564029,0.044729713,-0.07741048,-0.08205612,-0.03722441,0.3902153,-0.055065632
TARGET-20-PARUNX,1.179017,0.7448687,0.38679746,0.08692223,0.40911335,1.1396878,0.46726996,0.2840587,-0.01976099,-0.0019339634,0.09421466,1.4834082,0.7149609,0.47418007,0.18083653,1.4199454,0.24384531,0.37042174,0.10826038,0.3679059,-0.07299338,0.10726014,0.64979273,0.6146545,0.28938097,-0.027190614,-0.018192893,0.48289195,0.040251378,0.52508575,0.07562743,-0.0021785102,0.3578861,-0.063800305,-0.06684601,-0.009356349,0.90880996,-0.13115251,0.030713473,-0.029285595,0.021182314,-0.031499565,0.22088762,0.40600982,0.17902033,1.723626,0.31692863,1.4769527,0.7085304,-0.01559332,0.9086257,0.11195514,0.3258266,0.090140566,2.1425781,1.5510175,0.06883143,1.6915663,-0.0030892964,-0.07131566,-0.09087125,-0.04374613,0.22250965,-0.09178172
TARGET-20-PASGWH,1.7976035,0.8470684,0.44475502,0.46410224,0.4324937,1.5493693,0.53977597,0.40165046,-0.012296741,-0.026300728,0.009689737,1.863797,0.90084267,0.7103317,0.55632937,1.7245846,0.35512388,0.6171774,-0.015486121,0.49274236,-0.09221584,-0.015032201,0.80817837,0.8236805,0.2542417,-0.044227254,-0.048595026,0.656221,-0.0015695732,0.34123087,0.055534367,-0.023529362,0.561781,-0.077609114,-0.08611589,-0.005686079,1.2911352,-0.19050296,0.17688742,-0.020106664,-0.02923949,-0.044033792,0.5861665,0.63084793,0.18069826,2.0498905,0.33329603,2.0476608,1.0659964,-0.00106287,1.6756655,0.20565985,0.43309838,0.16803391,3.0906842,2.503186,-0.009557264,2.2117162,0.1884524,-0.12913157,-0.12506126,-0.058139898,0.5037382,-0.10204796
TARGET-20-PASGZS,1.3165187,0.98317045,0.28460696,0.44500852,0.31092548,1.2232661,0.3534717,0.2959309,-0.017171394,-0.029394446,0.20157842,1.3178833,0.6085731,0.5192724,0.1326725,1.6460822,0.1805537,0.34397665,0.17909262,0.41989684,-0.09052091,-0.011272373,0.66288906,0.6032005,0.20939508,-0.036921248,-0.014942484,0.5868396,-0.007093391,0.6722615,-0.0006670844,-0.030295772,0.47618315,-0.06662127,-0.09758745,-0.0034702164,0.7678263,-0.15284106,0.03929631,-0.026039226,-0.026701888,-0.038164604,0.17466204,0.50874466,0.06050357,1.7055404,0.14055605,1.3753623,0.75312155,-0.023026308,1.0839629,0.11503457,0.37401175,0.20953657,2.4657958,2.1127102,0.07172717,1.751166,0.06454614,-0.0832335,-0.089879304,-0.040814713,0.65760887,-0.0828593
TARGET-20-PASMYS,0.9108975,0.5127113,0.38894883,0.07067494,0.13942842,1.0589935,0.25448063,0.1413868,-0.012439303,-0.0052785445,0.123146325,1.1107225,0.45390505,0.28227788,0.022631593,1.0081395,0.3331646,0.22895324,-0.0035956295,0.33379287,-0.059324946,-0.0049527693,0.26310524,0.4299785,0.049679518,-0.015815154,-0.015661865,0.124581955,0.077165216,0.5038719,-0.02620174,-0.013132389,0.27553943,-0.06443181,-0.07020507,0.004309192,0.48026207,-0.10069257,0.047258426,-0.010441379,-0.011731017,-0.0340763,0.04571738,0.29919603,0.12168495,1.116733,0.18652932,1.0538068,0.6222605,-0.012612032,0.79529446,0.031356245,0.359252,0.089466274,1.6833721,1.4730961,0.13575841,1.0371457,-0.0016114183,-0.060734905,-0.06965329,-0.013528689,0.21275404,-0.04818952
TARGET-20-PASWAJ,1.0780853,0.582977,0.19853124,0.15515544,0.36431926,1.1202297,0.28999346,0.19593412,0.08235015,-0.004966086,0.3217959,1.314204,0.5822974,0.26251745,0.128841,1.3224552,0.24453744,0.21696328,-0.0056426944,0.43266058,-0.061430145,-0.0026962026,0.47005442,0.63116217,-0.0029981683,-0.050026316,-0.015407378,0.34242237,0.19373427,0.46078727,-0.0006536823,-0.009784451,0.34230068,-0.059613414,-0.075866595,0.022269659,0.7105102,-0.11974609,0.13263872,-0.0015860911,-0.036973566,-0.032477994,0.3249223,0.5658074,0.18151279,1.323753,0.29401723,1.3391145,0.52784026,-0.0021547445,0.7438287,0.11992978,0.25502512,0.011711251,1.9510053,1.6223526,0.053093415,1.3484689,-0.009977671,-0.055360045,-0.073131315,-0.029355336,0.2140815,-0.059225794
TARGET-20-PATDNN,1.0684687,0.3077591,0.25492376,0.18205613,0.34825337,1.1996027,0.37560728,0.28827584,-0.01938178,-0.021461615,0.14370555,1.1133245,0.5611843,0.10241532,0.18650882,1.1785411,0.19637886,0.08585975,-0.008016236,0.32186198,-0.055488925,0.25686714,0.44426844,0.6383686,0.021045549,-0.038630776,-0.012379316,0.5189389,-0.005483516,0.36055288,0.106342256,-0.010889615,0.14193702,-0.060317732,-0.06632671,-0.0044642477,0.9366871,-0.116740726,-0.0048789806,-0.0074191876,-0.012917246,-0.014571543,0.08787105,0.39106995,0.09628253,1.1788275,0.13753238,1.0842773,0.49581525,-0.024493465,0.62043494,-0.0070515736,0.3045113,0.07063411,2.0939968,1.3956997,0.2625716,1.485252,0.15872714,-0.072461374,-0.0628911,-0.05247205,0.1899555,-0.067319
