,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TARGET-10-PAPESW,0.4015745,0.5095248,0.320536,0.28393513,-0.0052733957,0.23224002,0.30820334,0.3328562,-0.0060157566,0.236716,-0.0043351725,0.0864971,0.5695184,0.47639105,0.058418825,0.3850751,0.117809415,0.20753306,-0.02260293,0.30878496,0.16164514,0.24663047,-0.00206371,0.2736404,0.5209325,0.37758997,-0.026734674,-0.0027389706,0.4757689,0.021248125,0.21157439,-0.0026124239,0.011565044,0.67110264,0.2984791,0.67512256,0.41237858,0.8432538,0.3597975,0.3759264,0.17663565,0.16060995,0.27731755,0.0028134827,-0.0012275942,0.15744063,0.54469836,0.14970255,0.24090162,0.5648965,0.5635411,0.18972199,0.11682767,0.04166387,-0.016950522,0.12314938,-0.015239052,0.028852355,0.26134905,0.0430682,0.44954485,0.22042218,-0.002427425,0.27105626
TARGET-10-PAPGFP,0.3444614,0.6813621,0.29657635,0.30094242,-0.009410607,0.40333894,0.14107056,0.22430903,0.07166374,0.19837643,-0.026709229,0.07831229,0.6160607,0.38972455,0.4506763,0.19215809,0.022771347,0.26398104,-0.018443657,0.3958939,0.2871057,0.32164872,0.21250223,0.14190187,0.32788903,0.11942357,-0.0066877194,0.10157886,0.4527031,-0.0027350558,0.14558771,-0.009978098,-0.003962045,0.46027362,0.21671984,0.504638,0.5657341,0.62362945,0.28438696,0.41642103,0.33228928,0.26634777,0.29091722,-0.0066004186,-0.001682686,0.21991715,0.36835024,0.09121375,0.24547286,0.5469633,0.52010334,0.070479296,0.15535569,0.11391315,-0.006365838,0.21381205,-0.0034582855,0.17278841,0.26633108,0.013760585,0.69513345,0.20277175,0.25973165,0.15099022
TARGET-10-PAPGYC,0.5850924,0.71297103,0.32870924,0.3577081,0.03595779,0.5410278,0.2758455,0.30931273,0.033636387,0.20205043,-0.0188022,0.12270206,0.38273668,0.41509062,0.28081626,0.15201643,0.10561602,0.25653467,-0.0034894967,0.20642535,0.25473315,0.35229594,0.28457776,0.196133,0.528854,0.29450926,-0.0033195117,0.32727087,0.5029632,0.051458634,0.3641333,-0.007812832,-0.008993881,0.5729434,0.2589874,0.60108125,0.5948081,0.5668161,0.30308548,0.4274574,0.30631107,0.18507789,0.15657638,0.15266123,-0.010557828,0.13837495,0.35989946,-0.0026514397,0.14254548,0.6091617,0.51142967,0.18612981,0.36641115,0.23607989,0.15177855,0.17358914,0.018505491,0.17934114,0.46608806,0.23656286,0.63169736,0.3030496,0.17345251,0.27482188
TARGET-10-PAPHJF,0.37174034,1.0803982,0.62306666,0.11985981,-0.016960777,0.60012,0.39807314,0.54754645,-0.0022497054,0.30666256,-0.027887076,0.3216864,0.4718755,0.45923913,0.70493215,0.5078967,0.28122973,0.16988991,-0.014534001,0.45209077,0.030172795,0.5367062,0.25867656,0.21068726,0.708971,0.4609813,-0.018554857,0.115021765,0.5359213,0.18750392,0.7062527,-0.035673145,0.0066673364,0.640514,0.123028345,0.9751935,0.6573159,0.9481434,0.38785505,0.7207241,0.3436967,0.265022,0.2514858,-0.0061871707,-0.009350233,0.42259014,0.33147824,0.16609113,0.15437724,0.48696035,0.8417867,0.27111283,0.21331348,0.18474676,-0.0019402407,0.0936414,0.13066572,0.25751945,0.41419765,-0.00068550184,0.7754381,0.58588415,0.1457109,0.2912464
TARGET-10-PAPIJB,0.5794182,0.8684044,0.44878408,0.5104004,0.0522248,0.7712668,0.19571543,0.3760851,-0.0047756,0.3232248,-0.030878613,0.12377438,0.47143456,0.469021,0.14126723,0.42429727,0.082350515,0.31194106,-0.024044214,0.60210097,0.19866937,0.5641028,0.28323445,0.33876395,0.41474152,0.50506246,-0.011194751,0.18471476,0.4153535,-0.014187469,0.32463497,-0.008687156,0.11548069,0.73807836,0.23953825,0.8441559,0.70792437,0.91202086,0.3827943,0.62868655,0.27744853,0.25992712,0.024639819,0.0074620675,0.052469116,0.40936416,0.31379342,0.1532742,0.14773965,0.60731703,0.6922366,-0.0006962763,0.1451783,0.24230017,0.057476223,0.22560781,-0.0051704943,0.22817287,0.3516039,0.34291053,0.653191,0.22282858,-0.0048113577,0.33229536
TARGET-10-PAPISG,0.2770322,0.8638674,0.15865077,0.093032144,-0.018401725,0.6580945,0.13864455,0.3357096,0.02511831,0.16884631,-0.023932919,0.111127555,0.6082993,0.47712386,-0.0063197888,0.23807932,0.32661274,0.119731836,-0.017509785,0.14365298,-0.0021051154,-0.0005458176,-0.007203719,0.17399018,0.23657821,0.31332183,-0.013934942,0.33935046,-0.0008826409,0.023045436,0.30320516,-0.022633655,0.3766732,0.39021114,-0.024066104,0.55999434,0.887323,0.7028234,0.5458189,0.5978389,0.25175488,0.3760613,0.2767546,-0.00045862628,-0.020963416,0.564798,0.28868347,-0.020866342,0.16168664,0.22601178,0.8238487,0.22239158,0.29464093,0.086681515,0.20220158,0.23891208,0.11269977,0.1732487,0.16610669,0.2863459,0.48481616,0.19426958,-0.0037087284,0.39373052
TARGET-10-PAPJHB,0.45402262,0.7009711,0.28307405,0.2960902,0.010690793,0.3706453,0.15780333,0.41115338,0.06321202,0.15076049,-0.0060619153,0.15221344,0.4306093,0.39342353,0.27638838,0.2814563,0.07591619,0.20273629,-0.0053703547,0.08223039,0.13725223,0.21101588,-0.0017416116,0.17835756,0.5385014,0.28800347,-0.007905515,0.17030963,0.37932566,0.10150917,0.3759594,-0.01776619,-0.0077507123,0.37379798,0.12355148,0.5343885,0.4060777,0.58151907,0.30720297,0.4039515,0.22031954,0.2026642,0.23137769,-0.0026173939,-0.010576821,0.08924074,0.26900956,-0.0015401918,0.121432655,0.41211528,0.49750426,0.20933522,0.15468179,0.30044913,0.000787694,0.15715551,-0.013480877,0.10989198,0.34780738,0.015264772,0.52969134,0.10354816,0.10451297,0.20507593
TARGET-10-PAPJXI,0.39846298,0.5544084,0.26784068,0.19655004,-0.008481984,0.45302668,0.16756777,0.25234163,0.07467368,0.21913923,-0.009685778,0.09846562,0.23209585,0.5048438,0.04384453,0.17708299,0.110722356,0.03571353,-0.015066588,0.2140978,0.09622951,0.1293679,0.010026939,0.2658962,0.4087963,0.36922017,-0.006830431,0.20271847,0.14643106,0.045643307,0.29541332,-0.013455522,-0.0016863451,0.34762964,0.12569414,0.59563875,0.41193932,0.5897692,0.33674854,0.4952997,0.2026487,0.1585932,0.11185229,0.054314375,0.0014900342,0.16754875,0.1798753,-0.016838552,0.19177954,0.21057376,0.55363923,0.17699008,0.1719099,0.1004629,0.1786601,0.20564315,-0.0048128027,0.10210143,0.26587844,0.264249,0.504877,0.36660478,0.11671692,0.3690792
TARGET-10-PAPKNC,0.39535144,0.7843858,0.3704929,0.14867067,0.20150584,0.49322346,0.28667596,0.4852265,0.046779636,0.37873217,-0.030769182,0.096420065,0.40272313,0.35848752,0.62561035,0.19729058,0.21360724,0.32119086,-0.026278857,0.27576694,0.1285446,0.35289425,0.019555688,0.2505586,0.28865594,0.24781123,0.012924302,0.36715096,0.036401827,0.10365802,0.46136463,-0.026041437,0.09381236,0.47870353,0.11537371,0.48883513,0.58769,0.55627793,0.32150543,0.46661863,0.303036,0.13054806,0.12976298,-0.0015546663,-0.025066182,0.3865153,0.24384727,0.17286159,0.36672595,0.5945536,0.68920404,0.053269174,0.2796506,0.2882847,-0.0042163245,-0.004362227,-0.0059131375,0.31810346,0.47804883,-0.016150678,0.8498724,0.2977897,0.08875042,0.18975109
TARGET-10-PAPLDM,0.26583496,0.4293368,0.301242,0.27869576,-0.006244973,0.70860285,-0.008420329,0.3954537,0.0022959262,0.2261648,-0.0271565,-0.004180721,0.654035,0.5548483,-0.013935434,0.48273337,0.34407365,0.15450391,-0.0079716155,0.17766602,0.16426733,0.50340456,0.30726475,-0.00015783384,0.23419978,0.39729986,-0.012371053,0.25762805,0.118683904,-0.008999408,0.2063619,0.057720274,0.07544562,0.6470898,0.09539217,0.5268405,0.5505986,0.65993667,0.19487067,0.6160904,0.12620667,0.32070947,0.4664457,-0.01732641,-0.008659742,0.65481853,0.3469513,0.024952639,0.4272856,0.49180233,0.37230742,0.07607076,0.078658864,-0.013928428,0.03383076,0.25113955,-0.03639899,0.05430982,0.19222684,0.287098,0.07807676,0.26146132,0.1522366,0.3467196
