patient_id,priv_mrna_0,priv_mrna_1,priv_mrna_2,priv_mrna_3,priv_mrna_4,priv_mrna_5,priv_mrna_6,priv_mrna_7,priv_mrna_8,priv_mrna_9,priv_mrna_10,priv_mrna_11,priv_mrna_12,priv_mrna_13,priv_mrna_14,priv_mrna_15,priv_mrna_16,priv_mrna_17,priv_mrna_18,priv_mrna_19,priv_mrna_20,priv_mrna_21,priv_mrna_22,priv_mrna_23,priv_mrna_24,priv_mrna_25,priv_mrna_26,priv_mrna_27,priv_mrna_28,priv_mrna_29,priv_mrna_30,priv_mrna_31,priv_mrna_32,priv_mrna_33,priv_mrna_34,priv_mrna_35,priv_mrna_36,priv_mrna_37,priv_mrna_38,priv_mrna_39,priv_mrna_40,priv_mrna_41,priv_mrna_42,priv_mrna_43,priv_mrna_44,priv_mrna_45,priv_mrna_46,priv_mrna_47,priv_mrna_48,priv_mrna_49,priv_mrna_50,priv_mrna_51,priv_mrna_52,priv_mrna_53,priv_mrna_54,priv_mrna_55,priv_mrna_56,priv_mrna_57,priv_mrna_58,priv_mrna_59,priv_mrna_60,priv_mrna_61,priv_mrna_62,priv_mrna_63
TCGA-E9-A1NF,0.56927556,0.35629934,0.2245318,-0.11232533,0.15171598,0.27552408,0.24600656,0.3750589,-0.047709316,-0.061704278,-0.07698216,0.19751027,-0.108906865,-0.032104567,0.15330264,0.301654,0.3512685,-0.08704113,0.4158413,0.34622034,-0.109343566,0.3137372,-0.022764748,0.20671366,-0.057450306,-0.039012536,0.23647705,-0.018052941,-0.11906719,0.262574,0.36484283,0.16817811,0.30808398,-0.049159024,-0.058651716,0.31121796,-0.09208798,0.3942903,0.0895548,0.30605334,0.27596518,0.18562752,0.2521582,0.4454409,0.31823677,0.188319,-0.083392896,-0.085882716,0.20422354,-0.05200238,-0.006997678,-0.045152344,-0.11169048,0.17503047,0.28888178,0.07566263,-0.042548653,0.22684151,0.2281955,-0.031907838,0.23664147,0.23833965,0.26998705,-0.048569962
TCGA-E9-A1NG,0.64411306,0.46412367,0.13311495,-0.14362763,0.20582874,0.3151868,0.30803436,0.47884598,-0.062185217,-0.07317682,-0.09259064,0.098959334,-0.13958782,-0.037225794,0.21902198,0.36362618,0.38120568,-0.08652779,0.630826,0.37432167,-0.12303492,0.47794896,-0.033320975,0.2051267,-0.06498309,-0.04597856,0.41616198,0.18329757,-0.14848356,0.3078379,0.40897977,0.16538349,0.3270546,-0.050716486,-0.06259819,0.28814942,-0.104288004,0.355456,0.091367975,0.2855343,0.2612587,0.14760089,0.32291037,0.50911367,0.4811145,0.15738398,-0.10522341,-0.097750336,0.14602196,-0.046013888,-0.010371807,-0.059986055,-0.10726011,0.27942958,0.41358626,0.06963176,-0.052263785,0.21847707,0.3149017,-0.04432014,0.29447678,0.123990834,0.08641769,-0.021104287
TCGA-E9-A1NH,0.3516119,0.40307486,0.34927967,-0.12451451,0.08164227,0.1802488,0.37780505,0.37004972,-0.075174354,-0.08390004,-0.073315345,0.05582913,-0.13985488,-0.047826413,0.14378828,0.30938017,0.30971545,-0.09822499,0.53024393,0.57691866,-0.12901595,0.49738267,-0.03218974,0.41521946,-0.078181766,-0.04963302,0.41708237,-0.009231774,-0.12501286,0.36841685,0.3063871,0.24557844,0.50797254,-0.05972327,-0.069926694,0.03971852,-0.12138956,0.52634907,0.23848341,0.31356615,0.29051304,0.1889081,0.45089063,0.5633963,0.32292348,0.34555775,-0.11606985,-0.0915027,0.3564845,-0.056860752,-0.031131908,-0.035960153,-0.12739122,0.13580835,0.41046417,0.18033208,-0.03810705,0.123904675,0.4044121,-0.02473752,0.34711424,0.3846013,0.35211238,-0.041415688
TCGA-E9-A1NI,0.63907343,0.4012624,0.32343024,-0.13548589,0.2609046,0.26871243,0.42325917,0.32373708,-0.04933531,-0.08786031,-0.08367439,0.17891559,-0.124064974,-0.0604492,0.21349697,0.3029009,0.37716398,-0.1257854,0.32602796,0.6547085,-0.122121714,0.40564716,-0.023629365,0.42863056,-0.07968386,-0.049899325,0.34060943,-0.057399154,-0.12924144,0.33095363,0.26117292,0.3583362,0.5308574,-0.059362013,-0.0777904,0.4237801,-0.11655134,0.4628551,0.42375985,0.4672625,0.37965438,0.30782995,0.3379812,0.47778064,0.4146887,0.5198053,-0.11281699,-0.09151504,0.34011647,-0.039113138,-0.032910507,-0.0336597,-0.16493934,0.35443434,0.28688407,0.26647502,-0.046485275,0.22036558,0.38091448,-0.035272263,0.3868739,0.555186,0.6058101,-0.06528587
TCGA-E9-A1QZ,0.5513428,0.6299989,0.24566546,-0.15283768,0.21939558,0.18429369,0.4032887,0.33984053,-0.07888921,-0.090064175,-0.11118759,0.32282606,-0.15267971,-0.058930855,0.19987582,0.259903,0.49838537,-0.118435815,0.5801749,0.5537584,-0.12774141,0.6095905,-0.0240421,0.48321956,-0.081393875,-0.051374294,0.44152784,-0.012795723,-0.14380991,0.3492617,0.24285948,0.34373304,0.55882055,-0.068145834,-0.06662583,0.2985363,-0.12154718,0.38312864,0.31652278,0.39178294,0.39589077,0.23758665,0.39380077,0.65837365,0.6289314,0.61105,-0.10938757,-0.10457271,0.3271412,-0.045734927,-0.056458093,-0.057770085,-0.14707457,0.3834745,0.34718794,0.3712746,-0.05673268,0.1375415,0.45295173,-0.0348992,0.41180596,0.31989464,0.57509845,-0.047602307
TCGA-E9-A1R0,0.31744328,0.5902533,0.16330445,-0.15175049,0.068537965,0.04209836,0.3858096,0.31813946,-0.068915956,-0.09706364,-0.07468644,0.04250098,-0.14371683,-0.05894643,0.18235023,0.2534161,0.36273214,-0.11471821,0.4287405,0.50887483,-0.12472009,0.44657728,-0.018166663,0.54093206,-0.08568781,-0.050195307,0.42241645,0.028448764,-0.13294168,0.3954784,0.38116187,0.18406804,0.5837126,-0.06422644,-0.07164405,0.16703244,-0.122802734,0.510884,0.27715823,0.4653264,0.3033384,0.16140392,0.32268837,0.4381954,0.23566708,0.5331041,-0.1138921,-0.08473231,0.37413865,-0.033567872,-0.046663616,-0.045543294,-0.14175753,0.2820548,0.410523,0.19844785,-0.048710354,0.04705565,0.5158721,-0.029072015,0.3819931,0.47786736,0.3437351,-0.02064567
TCGA-E9-A1R2,0.6851354,0.5693437,0.28465217,-0.20463793,0.3080836,0.32760373,0.4374612,0.32440132,-0.06392296,-0.12836258,-0.103064895,0.35310832,-0.17871471,-0.0702766,0.26869342,0.54965264,0.38491353,-0.1632096,0.40233764,0.7846025,-0.15453145,0.5342611,-0.033623353,0.5237183,-0.099777,-0.070064716,0.5139278,-0.104732476,-0.18683265,0.4534906,0.42201516,0.6171603,0.49105772,-0.110552505,-0.08606782,0.66620797,-0.18018162,0.38224196,0.73429143,0.56522673,0.46626323,0.20324785,0.3583653,0.67184824,0.6686469,1.0803114,-0.12395959,-0.12961827,0.27580556,-0.055972964,-0.047740504,-0.071780376,-0.18129805,0.5338515,0.39787224,0.5229958,-0.06699114,0.5611276,0.48274463,-0.054480698,0.38682646,0.7260815,0.17244232,-0.10579409
TCGA-E9-A1R3,0.6163995,0.68883663,0.24996057,-0.14007418,0.2328479,0.17908475,0.4027708,0.45497644,-0.08984523,-0.08391486,-0.11970265,0.15026543,-0.14565055,-0.053286053,0.19207513,0.4665779,0.567057,-0.10142566,0.6336618,0.36137095,-0.14724444,0.5498929,-0.027971098,0.3287786,-0.07545558,-0.05347797,0.47835588,-0.021634607,-0.15395235,0.3631316,0.40865168,0.3445923,0.4775105,-0.0615395,-0.06660293,0.2418534,-0.13014622,0.45228884,0.23396696,0.31578588,0.21049711,0.18058379,0.37398288,0.551061,0.43488622,0.30397055,-0.119443335,-0.10971945,0.20259988,-0.047899097,-0.036680114,-0.054127444,-0.13934778,0.32544702,0.45490986,0.2382451,-0.061591335,0.16719332,0.3944516,-0.04218535,0.31695196,0.2497655,0.42992598,-0.060542203
TCGA-E9-A1R4,0.65275437,0.96536386,0.4046344,-0.17332326,0.27378032,0.21088293,0.52232534,0.46102512,-0.108141266,-0.09767534,-0.11317811,0.3317631,-0.17435402,-0.07981679,0.12022914,0.26355433,0.47404158,-0.15743665,0.68340534,0.6119008,-0.15868948,0.6658718,-0.039349202,0.48678795,-0.101590134,-0.06759132,0.5746316,-0.071137846,-0.1733466,0.48963153,0.41209847,0.3985913,0.5325669,-0.071355395,-0.07781524,0.4161472,-0.12287674,0.3346866,0.6558318,0.6422917,0.49155906,0.36257,0.43282172,0.6902661,0.63567257,0.56846714,-0.11964122,-0.11648657,0.24135694,-0.047382135,-0.047307163,-0.051004138,-0.18061261,0.5051827,0.3926754,0.61773866,-0.06550826,0.31264368,0.48204756,-0.046295516,0.44276655,0.61169267,0.70568496,-0.09039317
TCGA-E9-A1R5,0.5998386,0.60393554,0.28100738,-0.13572685,0.19412556,0.1310347,0.3630638,0.32941306,-0.11121813,-0.07344072,-0.11541947,0.15786576,-0.14491701,-0.05446,0.17955184,0.45835567,0.4261888,-0.10669227,0.5995906,0.51597077,-0.12966867,0.59067714,-0.007935748,0.3109173,-0.065022044,-0.044774227,0.44412488,-0.041584626,-0.13346113,0.32881767,0.3311901,0.44109148,0.48199737,-0.07042419,-0.06942018,0.23441987,-0.13935529,0.4167396,0.34560603,0.29007423,0.30742836,0.13399921,0.4002392,0.6565552,0.4029685,0.71119285,-0.12648837,-0.123683356,0.2208339,-0.06561515,-0.04932798,-0.05274129,-0.13436517,0.25254276,0.28214672,0.114011094,-0.062405765,0.18586543,0.3543274,-0.038589798,0.3604935,0.48535147,0.46276653,-0.058376785
