patient_id,priv_mir_0,priv_mir_1,priv_mir_2,priv_mir_3,priv_mir_4,priv_mir_5,priv_mir_6,priv_mir_7,priv_mir_8,priv_mir_9,priv_mir_10,priv_mir_11,priv_mir_12,priv_mir_13,priv_mir_14,priv_mir_15,priv_mir_16,priv_mir_17,priv_mir_18,priv_mir_19,priv_mir_20,priv_mir_21,priv_mir_22,priv_mir_23,priv_mir_24,priv_mir_25,priv_mir_26,priv_mir_27,priv_mir_28,priv_mir_29,priv_mir_30,priv_mir_31,priv_mir_32,priv_mir_33,priv_mir_34,priv_mir_35,priv_mir_36,priv_mir_37,priv_mir_38,priv_mir_39,priv_mir_40,priv_mir_41,priv_mir_42,priv_mir_43,priv_mir_44,priv_mir_45,priv_mir_46,priv_mir_47,priv_mir_48,priv_mir_49,priv_mir_50,priv_mir_51,priv_mir_52,priv_mir_53,priv_mir_54,priv_mir_55,priv_mir_56,priv_mir_57,priv_mir_58,priv_mir_59,priv_mir_60,priv_mir_61,priv_mir_62,priv_mir_63
TCGA-A1-A0SF,0.08705591,0.17443936,0.26091352,0.16901565,0.16357547,0.22805852,-0.012886631,-0.018490307,0.14642122,0.13021529,0.21441348,0.21192122,0.28794062,0.27267036,0.28376544,-0.00423873,0.17943153,0.25018775,0.34926435,0.14171253,0.22225809,0.3760125,0.23987368,0.21129781,0.4154252,0.23405439,0.14109872,0.19751799,0.32423848,0.21513566,0.11998529,0.27395356,0.25659046,0.12044509,-0.005244789,0.16679795,0.18574157,0.26570082,0.1652013,0.22856088,0.24667606,0.028195417,0.30524233,-0.03322292,0.26625335,0.23467219,0.17171374,0.2290546,0.23390259,0.039103016,0.12199261,0.30859232,0.29507163,0.14296107,0.1314914,0.20587188,0.3131429,0.3418928,0.1737721,0.27007863,0.101846814,0.18441463,0.18477044,0.24786098
TCGA-A1-A0SG,0.1788845,0.25771356,0.43274295,0.27544358,0.40699452,0.25992686,-0.020887965,-0.014413453,0.4778582,0.2431685,0.20952703,0.099467285,0.2585218,0.29919624,0.3913637,-0.017861946,0.242675,0.42785427,0.24045393,0.3493323,0.28226963,0.22434494,0.34481284,0.34096673,0.36210272,0.500127,0.42213914,0.3499336,0.38002294,0.31583333,0.2664221,0.54484904,0.21904957,0.25262547,-0.013177452,0.53635824,0.23365118,0.48282757,0.14502776,0.34083027,0.3188103,0.29346094,0.16915643,-0.041878305,0.16376576,0.47457534,0.25391984,0.46706155,0.35919538,0.06484921,0.27232704,0.45776,0.31036744,0.24938369,0.18773778,0.29017228,0.6160553,0.39443958,0.26881313,0.43145725,0.17481115,0.16341649,0.30282235,0.3807009
TCGA-A1-A0SH,0.07711896,0.055056665,0.27733174,0.14614949,0.26374334,0.17304641,-0.010995282,-0.013904219,0.35229832,0.15943772,0.19190428,0.04453164,0.24941212,0.15327586,0.21773902,-0.014502219,0.20039743,0.24125893,0.245428,0.14639542,0.13655156,0.2043921,0.05866087,0.19267902,0.2658863,0.17180602,0.23171668,0.29927564,0.34910515,0.13644886,0.23626244,0.27762657,0.19945806,-0.00057319924,-0.010843307,0.0801359,0.29882267,0.40268233,0.16508311,0.2609428,0.10540166,0.32923627,0.2707969,-0.031738263,0.10106075,0.26083177,0.18550572,0.20026563,0.3622509,0.03770156,0.16556908,0.23925588,0.21015748,-0.0011394098,0.25482816,0.20342186,0.38094893,0.23882431,-0.0053258897,0.050687328,0.17625459,0.18942864,0.26115698,0.31395608
TCGA-A1-A0SI,0.34398264,0.16870919,0.37863448,0.24277358,0.28500873,0.27993393,-0.009330551,-0.00803791,0.23186162,0.061134443,0.23501983,0.23238692,0.19255018,0.23942715,0.1683377,-0.004827851,0.24212891,0.1041646,0.32411236,0.15258592,0.0895139,0.37472108,0.25901264,0.19658893,0.27852932,0.23480618,0.116900474,0.3017488,0.20094666,0.38173077,0.08271368,0.47572476,0.24879196,0.13585271,-0.013871754,0.16081573,0.24563201,0.5208774,0.2309742,0.26672968,0.18712623,0.2023904,0.20487201,-0.04923539,0.06875822,0.30333093,0.3575556,0.18057248,0.20926602,0.09364296,0.13840674,0.28960952,0.33968577,0.32217902,0.038092356,0.06467271,0.30300298,0.24416956,0.123275876,0.16661826,0.051107377,0.034873948,0.123368084,0.23204927
TCGA-A1-A0SJ,0.30951136,0.41646183,0.42951837,0.3451659,0.46233237,0.5226674,-0.022907728,-0.011966029,0.5682307,0.1363763,0.25407842,0.40081352,0.276726,0.3008197,0.44701183,-0.022636661,0.45677263,0.4723604,0.46568394,0.42386064,0.57237136,0.18780306,0.2396596,0.3196114,0.6052564,0.459272,0.253497,0.42437065,0.28951785,0.45118174,0.5025338,0.6359756,0.29763868,0.30177003,-0.030452037,0.6132502,0.2927008,0.57171446,0.4192558,0.42455757,0.49021947,0.47137856,0.46422535,-0.039481573,0.40808305,0.54397225,0.4934608,0.55367225,0.5106308,0.14968237,0.18744522,0.32170883,0.41870108,0.47277698,0.49676955,0.50648105,0.6368032,0.18983066,0.5514487,0.29046333,0.16728798,-0.0024892332,0.2677966,0.18292786
TCGA-A1-A0SK,0.44121617,0.42192543,0.4963591,0.5671057,0.82289934,0.20028427,0.26677832,-0.020675901,0.51629174,1.4568597,-0.0042176577,0.12570533,0.10503018,0.2025864,0.71528625,-0.070387766,0.57172096,0.27029485,0.9327201,0.32511273,0.630554,0.019988224,0.63787204,0.910644,0.085388914,0.5089036,0.6300138,0.047224395,0.43895394,-0.0026399873,0.5319774,0.13722736,-0.003563001,0.087163195,-0.024891838,0.5124884,-0.007480845,0.1939452,0.52341676,-0.020710355,0.079622775,0.6505375,0.810111,-0.020336572,0.023920849,0.995813,0.13256307,0.1931348,-0.014580491,-0.044482984,-0.00173815,0.6696955,0.39547905,0.3527542,0.73146564,0.004879374,-0.01530832,0.016196996,1.3139954,-0.00028495266,0.38552147,0.84648037,0.27553692,0.19769378
TCGA-A1-A0SM,0.20865479,0.25890303,0.36392736,0.23495883,0.43642503,0.21534553,-0.004410568,-0.011665215,0.40691918,0.17464408,0.14790398,0.25720543,0.1949983,0.18821044,0.31200922,-0.023470607,0.20639798,0.3612078,0.14658445,0.22820213,0.2580997,0.17408797,0.17437157,0.18632016,0.28908,0.28391528,0.26720092,0.19883455,0.26017657,0.45324844,0.2632916,0.29553297,0.24411058,0.15540619,-0.0145122325,0.23096304,0.2479579,0.3601655,0.21794581,0.19390763,0.2723543,0.5328377,0.33752796,-0.034848187,-0.0018308889,0.2681721,0.2281696,0.36240658,0.27678722,0.14042498,0.13339584,0.30057,0.15793052,0.35578206,-0.0003047455,0.16442744,0.35831442,0.20702597,0.13541096,0.3029074,0.20595944,0.06980316,0.292131,0.11589204
TCGA-A1-A0SN,0.15877655,0.1789345,0.2374233,0.21252735,0.23889068,0.18691954,-0.010015673,-0.008518885,0.3458709,0.15206286,0.16267975,0.10539607,0.16367999,0.15114857,0.19079368,-0.0077333795,0.14018089,0.17057836,0.15815324,0.19597617,0.11013128,0.23938924,0.049898203,0.09707568,0.2618435,0.21440771,0.18240593,0.20066814,0.2316216,0.12299011,0.14193901,0.24453788,0.16942975,0.04939015,-0.01205435,0.15747531,0.23616256,0.15055192,0.105852745,0.14146699,0.17528449,0.13732661,0.26631808,-0.027961051,-0.0007571042,0.13394892,0.17585742,0.19616199,0.22332568,0.055337306,0.15521236,0.24520844,0.22021529,0.09189461,0.066221744,0.015610661,0.26882315,0.24738806,0.13563238,0.22641984,0.08350864,0.06946965,0.26890686,0.20738816
TCGA-A1-A0SO,0.17622662,0.82806087,0.3272644,0.24987262,0.40688205,0.07822511,-0.016731365,-0.03900256,0.27320856,0.5070869,0.20214844,0.7442227,0.41074204,0.20596834,0.7192394,-0.03310692,0.8099126,-0.0030455017,1.0853171,0.08746865,0.7733096,-0.005467339,0.4008095,0.1812369,0.10134487,0.42791694,0.30536395,0.5397214,0.38174018,0.35484394,0.714323,0.5441928,0.5930613,0.2295879,-0.012512322,0.563363,0.2510385,0.28299737,0.23681477,-0.0015713007,0.7632099,0.60417557,0.8220331,-0.052020133,0.83038783,0.43903172,0.84420574,0.24170895,0.28710237,-0.018205352,-2.0868798e-05,0.71174395,0.66594726,0.47587097,1.0256486,0.09061265,0.388469,0.44932514,0.688597,0.34666702,0.23241203,0.36408547,0.39221644,0.118232444
TCGA-A1-A0SP,0.41798574,0.36619678,0.3411119,0.43416,0.7064753,0.3623249,-0.024475029,-0.02408207,0.6297187,0.50810605,0.24302526,0.21504226,0.24334154,0.12223576,0.4824535,-0.025789946,0.5022166,0.2500174,0.47237027,0.2062757,0.58213514,0.34099856,0.5250566,0.3135182,0.280624,0.5333539,0.3953054,0.33911604,0.36457732,0.3395582,0.14209518,0.4576015,0.20221144,0.39398086,-0.016689893,0.48568887,0.056190927,0.5070275,0.43925843,0.29043794,0.73160344,0.44729048,0.38139915,-0.059612956,0.46043602,0.2745614,0.35744038,0.45887297,0.64839935,-0.0009527734,0.4350335,0.55208474,0.44988427,0.26611313,0.44806504,0.310153,0.45583922,0.09566651,0.55236894,0.405461,0.2683313,0.28260761,0.41424474,0.13952327
