patient_id,priv_meth_0,priv_meth_1,priv_meth_2,priv_meth_3,priv_meth_4,priv_meth_5,priv_meth_6,priv_meth_7,priv_meth_8,priv_meth_9,priv_meth_10,priv_meth_11,priv_meth_12,priv_meth_13,priv_meth_14,priv_meth_15,priv_meth_16,priv_meth_17,priv_meth_18,priv_meth_19,priv_meth_20,priv_meth_21,priv_meth_22,priv_meth_23,priv_meth_24,priv_meth_25,priv_meth_26,priv_meth_27,priv_meth_28,priv_meth_29,priv_meth_30,priv_meth_31,priv_meth_32,priv_meth_33,priv_meth_34,priv_meth_35,priv_meth_36,priv_meth_37,priv_meth_38,priv_meth_39,priv_meth_40,priv_meth_41,priv_meth_42,priv_meth_43,priv_meth_44,priv_meth_45,priv_meth_46,priv_meth_47,priv_meth_48,priv_meth_49,priv_meth_50,priv_meth_51,priv_meth_52,priv_meth_53,priv_meth_54,priv_meth_55,priv_meth_56,priv_meth_57,priv_meth_58,priv_meth_59,priv_meth_60,priv_meth_61,priv_meth_62,priv_meth_63
TCGA-GM-A2DI,0.04217089,-0.049254935,-0.39091113,0.60288316,0.08698609,-0.15313745,-0.107012786,0.59124625,0.7639392,-0.15929992,0.26047197,-0.21096288,0.0017174818,0.17425454,-0.058520216,-0.25430673,0.29395834,0.39836895,-0.13223082,-0.17575519,0.46964735,0.4536728,0.6142467,0.3887269,0.69597816,0.6727092,0.07311523,0.22962599,0.26683775,0.38367748,-0.18403576,1.3874835,0.4104911,0.61231065,-0.065304115,0.045439333,-0.20024912,0.07197305,-0.26993832,0.46261734,0.7446785,-0.11289356,-0.17606986,0.38087362,-0.028796801,1.1005285,1.3709196,0.30207786,0.3770265,0.76189256,0.40500146,-0.16648936,0.40189034,0.771847,0.15035339,0.75554276,-0.34336495,1.4795784,0.04174643,-0.014936957,0.72024316,1.9534872,1.2051616,0.43877265
TCGA-GM-A2DK,0.28279385,-0.06257629,-0.34055734,0.6856477,0.14623378,-0.18352698,-0.090874545,0.48444974,0.68977433,-0.16889875,0.07143321,-0.31995878,-0.030043652,0.65602964,-0.08568577,-0.2840413,0.4667044,0.47666758,-0.1255282,-0.24397309,0.6463828,0.7031614,0.8109154,0.6485992,1.1084384,0.7930273,0.16713087,0.2739948,0.2912079,0.37818962,-0.2363398,1.182593,0.26117778,0.7568186,-0.1008819,0.36849457,-0.18780477,0.30330962,-0.28021157,0.5156526,0.76314986,-0.13706833,-0.23122011,0.5274848,0.13201503,0.8953222,1.2394621,0.2758373,0.37479448,0.6289031,0.4204051,-0.21642296,0.36493057,0.83937883,0.3197868,1.0160625,-0.38038,1.329016,0.4581894,-0.109226935,0.8134725,1.5315769,1.1385052,0.28998604
TCGA-GM-A2DL,0.8754415,-0.17905223,-0.26990148,0.67513853,0.66274536,-0.2654315,-0.06273142,0.41823363,0.78890306,-0.18731967,0.48985296,-0.21544777,-0.06519289,0.8476945,-0.15844353,-0.42246905,0.35128322,0.86170167,-0.04376054,-0.34072354,0.32759184,0.6900514,1.2237785,0.6562345,1.8127531,0.55733216,0.7783026,1.0724703,0.815855,0.4539789,-0.34700486,1.0905962,0.11787557,1.0576696,-0.10854453,0.6568535,-0.1890832,0.40931183,-0.3351025,0.42798865,0.61463404,-0.31617054,-0.26223516,0.8406297,-0.05708757,0.5853239,0.99590683,1.1988883,0.77060425,0.71156335,0.4350069,-0.16316025,0.47015703,0.65301615,0.5849857,1.0764686,-0.36301607,0.88075554,0.341723,-0.45743164,0.6750372,1.2108024,1.0763326,0.43335053
TCGA-GM-A2DM,-0.02266151,-0.01219617,-0.39142153,0.91643834,0.18222149,-0.15445781,-0.107129626,0.90941226,0.5778516,-0.15706751,-0.00046875048,-0.26159835,-0.035126444,0.2629776,-0.040656608,-0.24522379,0.37854782,0.094604164,-0.14913593,-0.16406268,0.544931,0.16705744,0.3377074,0.6930269,0.5802113,1.0075423,0.010239262,-0.010276913,0.113777824,0.6291989,-0.21541484,1.5361476,0.38113898,0.51300704,-0.04127127,-0.0028048346,-0.18947162,0.26351848,-0.24869406,0.39978272,0.6896211,-0.0957345,-0.21756874,0.090467885,0.45458922,1.0766096,1.543582,-0.007980316,0.30312735,0.82162935,0.19653499,-0.20045772,0.4367501,0.8840801,0.36855432,0.635303,-0.3430284,1.6644399,0.3767491,0.11502863,1.0198078,1.7535682,1.3072664,0.6333451
TCGA-GM-A2DN,0.2343224,-0.10986992,-0.39173838,0.8908775,0.5894231,-0.23188388,-0.082705505,0.8630638,0.92834854,-0.19311589,0.27699786,-0.2356566,-0.04264603,0.28703678,-0.11310114,-0.34706303,0.31904396,0.62300515,-0.13814753,-0.27427948,0.4287149,0.7391974,0.74201334,0.80728054,1.3259791,0.7355379,0.38801405,0.54646045,0.49100998,0.65679693,-0.2771442,1.4782394,0.29137337,0.9187972,-0.06791117,0.37715983,-0.21438138,0.18608052,-0.3342803,0.7188627,0.99450386,-0.2765315,-0.25051376,0.6787895,-0.05797119,0.9710822,1.343981,1.0090289,0.5117005,0.73953664,0.3387967,-0.19751117,0.6033562,0.87439585,0.5578623,1.0918167,-0.3242232,1.5027834,0.60994333,-0.25536478,0.9865481,1.3627706,1.2881209,0.5270238
TCGA-GM-A2DO,0.45139435,-0.08210341,-0.34973478,0.29955468,0.11650698,-0.20317368,-0.102756575,0.8132892,0.8051776,-0.16939835,0.29695925,-0.24743997,-0.01307931,0.5789505,-0.08021861,-0.31829017,0.42942742,0.38829327,-0.10392592,-0.22249763,0.47027144,0.67955565,0.8690324,0.2834526,1.2965711,0.2801064,0.22010417,0.21991552,0.5076269,0.43886754,-0.26649728,1.2826401,0.40178534,0.7771094,-0.10528822,0.29078966,-0.22772992,0.17893115,-0.33300397,0.6505944,0.69974756,-0.11008419,-0.19234075,0.7790617,-0.023390613,1.1083404,1.242078,0.57015043,0.40796423,0.7755814,0.5176043,-0.18219349,0.45254034,0.9048867,0.09899312,0.80289125,-0.49124596,1.2475297,-0.0043466147,-0.11843784,0.7683171,2.143448,1.1818796,0.118620865
TCGA-GM-A3NW,0.60495985,-0.1822413,-0.3645415,0.8345813,0.493252,-0.30352923,-0.061167765,0.6967848,1.0171944,-0.24715999,0.4848672,-0.3395771,-0.070078574,1.2285537,-0.17353556,-0.47353393,0.4334781,0.93214476,-0.080430925,-0.37504596,0.32602352,0.7979771,1.2443389,0.892751,2.3595402,0.54769623,0.8504767,0.5879811,0.859311,0.7805263,-0.47804767,1.2424988,0.18515928,1.0059421,-0.1400581,0.80306596,-0.24161021,0.50041944,-0.37944135,0.7625808,0.7029253,-0.3361915,-0.3010322,1.1374946,0.12806432,0.90116215,1.2012591,1.0876621,0.84195995,0.53129584,0.23610383,-0.25263327,0.88081104,0.95945036,0.6721755,1.1964902,-0.4956015,1.1693052,0.6532939,-0.43688646,1.418583,1.2878866,1.0053632,0.43137732
TCGA-GM-A3NY,0.5594208,-0.09602026,-0.46822795,1.1334286,0.8065651,-0.3127292,-0.119726695,0.9765165,0.87953216,-0.28020892,0.62967414,-0.32686806,-0.07225292,0.6881813,-0.19152872,-0.42351052,0.44766733,0.586703,-0.11823832,-0.34642673,0.59288365,0.64977765,1.1695331,0.7750447,1.2475326,0.92203224,0.94353247,0.36416084,0.7497932,0.7175917,-0.27827486,1.402186,0.3438254,1.1460332,-0.06651002,0.5246976,-0.22847469,0.9803274,-0.3087742,0.71288115,0.9253366,-0.2992763,-0.32171437,0.66863865,-0.09037687,0.7005073,1.0523238,0.4123693,1.0659525,1.017564,0.3953386,-0.22711296,0.5158632,1.101387,0.9803405,1.1936015,-0.28305927,1.5015262,0.7235637,-0.37077197,1.2724195,0.7595655,1.6977531,1.0796506
TCGA-GM-A3XG,0.0042587537,-0.0056898943,-0.41823298,0.9493681,0.3804149,-0.1392124,-0.10737431,0.88016796,0.6008002,-0.12542751,0.11779282,-0.2109294,-0.037581407,0.010114541,-0.049189802,-0.21639071,0.20906831,0.06000336,-0.15962838,-0.12751615,0.4066422,0.09331891,0.53363645,0.7103236,0.2519606,1.0381135,0.06741102,0.09525429,0.005570583,0.39742562,-0.15254728,1.36694,0.61376333,0.54878914,-0.021754965,-0.0019961158,-0.17231241,0.3498349,-0.20403646,0.3054753,0.60391366,-0.09802192,-0.21812649,-0.002026758,-0.01015754,0.9559497,1.3407557,0.2525715,0.21743417,1.0263494,0.31058168,-0.14271237,0.29407337,0.8831078,0.25243932,0.6942662,-0.1823162,1.469573,0.18771315,0.17406648,0.65178746,1.5368696,1.3186573,0.9431778
TCGA-GM-A3XL,0.46999145,-0.13647567,-0.38157758,0.78175384,0.96164554,-0.23046224,-0.099017285,0.8860955,0.6911218,-0.16870895,0.7966135,-0.045017816,-0.064690925,0.32834145,-0.18598716,-0.36352226,0.2978703,0.16614202,-0.0965886,-0.2763215,0.45732674,0.4824848,0.9954401,0.83131635,0.92008656,0.8123969,0.28732356,1.1219186,0.6184682,0.38402656,-0.08291386,0.9598785,0.70974916,0.72608584,-0.061424013,0.65930444,-0.1834908,1.3487048,-0.27915645,0.59508204,0.56364906,-0.25898272,-0.29940698,0.4150253,-0.08425196,0.6682897,0.94205856,1.8386599,0.58040494,1.0220295,1.4231162,-0.10806682,0.755915,0.8299558,0.5630288,0.9168132,-0.03666692,1.0177935,0.63484704,-0.2765226,0.62342566,1.1732252,1.1266665,0.95047814
TCGA-GM-A3XN,0.03850449,-0.025979131,-0.43998384,0.984122,0.4160333,-0.20477378,-0.109342255,0.8464426,0.74707,-0.19186719,0.3702307,-0.25306746,-0.02896723,0.24674328,-0.08771398,-0.29425725,0.45020443,0.335415,-0.15691873,-0.22733608,0.48732248,0.6452634,0.78237873,0.67463577,0.7935695,1.0550756,0.2624003,0.17032604,0.19887275,0.6000144,-0.16981888,1.6406727,0.43131906,0.6701579,-0.0470994,0.26073924,-0.20302045,0.28706652,-0.26581243,0.61958593,0.84656096,-0.19223575,-0.24452825,0.19436769,-0.019341372,1.0503561,1.6658957,0.4136492,0.36186135,1.0311021,0.37791872,-0.19935031,0.42871338,0.8348718,0.57435906,0.86957735,-0.2596289,1.5673509,0.34460703,-0.08565047,0.828573,1.483152,1.4678003,0.7896975
TCGA-GM-A4E0,0.33648935,-0.12742744,-0.32740843,0.7221489,0.4238628,-0.22166042,-0.07276451,0.693854,0.8505137,-0.1883999,0.419121,-0.21465614,-0.04734815,0.5325932,-0.11597915,-0.37494156,0.32119164,0.587599,-0.114502825,-0.24981768,0.40615603,0.52524966,0.81567115,0.6439898,1.3567723,0.5003506,0.39912677,0.46965918,0.5974707,0.5944699,-0.2772022,1.3102927,0.20390692,0.7741569,-0.08068567,0.5347414,-0.2103597,0.21112771,-0.29632744,0.74621767,0.86868834,-0.2216169,-0.23535338,0.730412,-0.022818934,0.9110457,1.4587001,0.7757594,0.40072662,0.82270086,0.5025122,-0.18443179,0.5218415,0.7440947,0.30224967,0.86276966,-0.3872992,1.2582972,0.3835527,-0.31684738,0.8782884,1.5130008,1.1314338,0.44168773
